path_glob	provenance	upstream_license	nexus_license	effective_spdx	change_notice_policy	notes
PROVENANCE.md	Nexus-original PolyForm	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Update when repository licensing model or major path groups change.	Practical provenance guide; not legal advice.
LICENSE-MAP.tsv	Nexus-original PolyForm	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Keep rows practical and update when adding/removing major path groups.	Machine-readable major path map.
LICENSE	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve with Nexus-BS-covered source and binary distributions.	Repository PolyForm Noncommercial license text.
COMMERCIAL-LICENSE.md	docs/package assets	Apache-2.0 context preserved for historical upstream portions	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve commercial-use boundary wording; do not imply public commercial grant.	Commercial license notice for Nexus-BS additions and project form.
NOTICE	docs/package assets	Apache-2.0 notices preserved for historical upstream portions	PolyForm-Noncommercial-1.0.0	NOASSERTION	Preserve Required Notice and upstream/historical credits.	Repository notice file and attribution anchor.
LICENSES/Apache-2.0.txt	docs/package assets	Apache-2.0	none claimed	Apache-2.0	Preserve with upstream-derived portions.	Historical upstream Apache-2.0 license text.
README.md	docs/package assets	Apache-2.0 where inherited wording/context applies	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve licensing, upstream-rights, and credit wording.	Public project overview and credited URL source.
Cargo.toml	docs/package assets	third-party dependency metadata; dependency licenses not enumerated here	PolyForm-Noncommercial-1.0.0	NOASSERTION	Preserve workspace license-file setting; review dependencies before binary redistribution.	Workspace package metadata.
Cargo.lock	generated/binary	third-party dependency metadata	none claimed	NOASSERTION	Regenerate via Cargo and run dependency license review for redistribution.	Lockfile for external Rust crates.
Cross.toml	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Update with build target changes.	Cross-build metadata.
rustfmt.toml	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Update with formatting policy changes.	Repository formatting configuration.
.github/**	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve release/build license propagation steps.	GitHub workflow and release automation.
crates/tetra-core/**	upstream-modified Apache lineage	Apache-2.0 for inherited BlueStation/FlowStation/osmocom-lineage portions	PolyForm-Noncommercial-1.0.0 for Nexus-BS modifications/additions	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve upstream notices and keep material Nexus-BS changes traceable.	Core TETRA types, time, addressing, bitbuffer, and shared primitives.
crates/tetra-saps/**	upstream-modified Apache lineage	Apache-2.0 for inherited BlueStation/FlowStation/osmocom-lineage portions	PolyForm-Noncommercial-1.0.0 for Nexus-BS modifications/additions	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve upstream notices and keep SAP changes traceable.	TETRA SAP definitions and message surfaces.
crates/tetra-pdus/**	upstream-modified Apache lineage	Apache-2.0 for inherited BlueStation/FlowStation/osmocom-lineage portions; standards text is not code license	PolyForm-Noncommercial-1.0.0 for Nexus-BS PDU work	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve upstream notices; cite standards clauses in protocol changes where relevant.	TETRA PDU codecs, enums, and fields.
crates/tetra-config/**	upstream-modified Apache lineage	Apache-2.0 for inherited BlueStation/FlowStation configuration lineage	PolyForm-Noncommercial-1.0.0 for Nexus-BS configuration work	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve upstream notices and BlueStation/FlowStation context where retained.	Configuration parser/state including historical bluestation module naming.
crates/tetra-entities/src/lmac/components/viterbi.rs	upstream-modified Apache lineage	Apache-2.0 where inherited; SXCEIVER credit retained	PolyForm-Noncommercial-1.0.0 for Nexus-BS modifications	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve Tatu Peltola/SXCEIVER credit and upstream notices.	LMAC codec area with credited upstream/community context.
crates/tetra-entities/src/phy/components/soapy*.rs	upstream-modified Apache lineage	Apache-2.0 where inherited; SXCEIVER credit retained	PolyForm-Noncommercial-1.0.0 for Nexus-BS modifications	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve Tatu Peltola/SXCEIVER and upstream notices.	SoapySDR integration and timestamping-related RF IO.
crates/tetra-entities/src/{cmce,llc,lmac,mle,mm,phy,sndcp,umac}/**	upstream-modified Apache lineage	Apache-2.0 for inherited BlueStation/FlowStation/osmocom-lineage portions	PolyForm-Noncommercial-1.0.0 for Nexus-BS modifications/additions	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve upstream notices; keep protocol/RF changes test-backed and traceable.	Main TETRA protocol, RF, bearer, and scheduler implementation.
crates/tetra-entities/tests/**	upstream-modified Apache lineage	Apache-2.0 for inherited test lineage where present	PolyForm-Noncommercial-1.0.0 for Nexus-BS tests and modifications	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve upstream test attribution where present; keep Nexus regression intent traceable.	Expanded Nexus-BS regression and protocol tests.
crates/tetra-entities/src/net_dashboard/**	upstream-modified Apache lineage	Apache-2.0 for inherited FlowStation dashboard lineage where present	PolyForm-Noncommercial-1.0.0 for Nexus-BS dashboard additions	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve dashboard credits and current Nexus-BS identity wording.	Embedded dashboard server/html/state/update services.
dashboard/**	upstream-modified Apache lineage	Apache-2.0 for inherited FlowStation dashboard lineage where present	PolyForm-Noncommercial-1.0.0 for Nexus-BS dashboard assets	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve dashboard credits, links, and notices.	Static dashboard assets used by release bundles.
crates/tetra-entities/src/net_brew/**	Nexus-original PolyForm	none identified in repository context; external Brew protocol interoperability is not third-party code	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Document protocol compatibility context; review external protocol terms separately if needed.	Brew v1 gateway implementation.
crates/tetra-entities/src/net_control/**	Nexus-original PolyForm	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Keep control protocol changes traceable.	Local control channel implementation.
crates/tetra-entities/src/net_telemetry/**	Nexus-original PolyForm	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Keep telemetry protocol changes traceable.	Telemetry channel and event model.
crates/tetra-entities/src/{health,network}/**	Nexus-original PolyForm	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Document operational behavior changes.	Health, supervision, and network transport support.
crates/tetra-entities/src/{rf_calibration.rs,service_control.rs,sys_telemetry.rs,wifi.rs,messagerouter.rs,entity_trait.rs,lib.rs}	Nexus-original PolyForm	Apache-2.0 where inherited helper structure exists	PolyForm-Noncommercial-1.0.0 for Nexus-BS modifications/additions	NOASSERTION	Preserve upstream notices if history shows inherited portions; otherwise default to Nexus-BS PolyForm.	Top-level entity helpers and operational support files.
bins/nexus-bs/**	upstream-modified Apache lineage	Apache-2.0 for inherited BlueStation/FlowStation service entrypoint lineage where present	PolyForm-Noncommercial-1.0.0 for Nexus-BS runtime additions	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve startup credits and upstream notices.	Main RF/TETRA service binary source.
bins/{nexus-bs-control,nexus-bs-dashboard,nexus-bs-telemetry,pdu-tool}/**	Nexus-original PolyForm	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve repository license-file references and document protocol changes.	Support binary sources and PDU tooling.
example_config/**	upstream-modified Apache lineage	Apache-2.0 for retained BlueStation reference RF/profile lineage	PolyForm-Noncommercial-1.0.0 for Nexus-BS configuration additions	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve comments identifying retained BlueStation reference profile.	Example operator configuration.
contrib/systemd/**	docs/package assets	Apache-2.0 for inherited deployment-hardening lineage where present	PolyForm-Noncommercial-1.0.0 for Nexus-BS service units	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve service identity and notices in packages.	Systemd deployment units and journald config.
contrib/{cross-compile,pre-commit-hook}/**	docs/package assets	none identified; Dockerfile downloads external SoapySDR but does not vendor it	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Do not imply vendored third-party source; review downloaded tools separately.	Build helper and local hook assets.
scripts/**	docs/package assets	Apache-2.0 for inherited deployment tooling lineage where present	PolyForm-Noncommercial-1.0.0 for Nexus-BS scripts	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Preserve deployment notices and do not strip upstream credits.	Operational deploy/control helper scripts.
packaging/deb/templates/**	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve package license references.	Debian maintainer script/control templates.
packaging/deb/build-deb.sh	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve package license propagation behavior.	Debian package builder.
packaging/deb/README.md	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Update with packaging workflow changes.	Debian package build documentation.
packaging/deb/dist/**	generated/binary	derived from Nexus-BS source plus third-party/runtime dependencies	none claimed for generated container	NOASSERTION	Regenerate from source bundle; run dependency license review before redistribution.	Built Debian package artifacts.
packaging/apt/**	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve package metadata/license propagation behavior.	Static APT repository generator and documentation.
compiled_distribution/bin/**	generated/binary	derived from upstream-lineage source plus third-party Rust/system dependencies	none claimed for generated binary form	NOASSERTION	Regenerate from source; preserve checksums and run dependency license review before redistribution.	Stripped Linux/aarch64 ELF binaries.
compiled_distribution/config/**	generated/binary	Apache-2.0 for retained BlueStation reference config lineage	PolyForm-Noncommercial-1.0.0 for Nexus-BS config additions	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Regenerate from example_config and preserve retained upstream comments.	Release-bundle config copies.
compiled_distribution/dashboard/**	generated/binary	Apache-2.0 for inherited FlowStation dashboard lineage where present	PolyForm-Noncommercial-1.0.0 for Nexus-BS dashboard assets	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Regenerate/copy from dashboard source and preserve credits.	Release-bundle dashboard copies.
compiled_distribution/systemd/**	generated/binary	Apache-2.0 for inherited deployment lineage where present	PolyForm-Noncommercial-1.0.0 for Nexus-BS service units	Apache-2.0 AND PolyForm-Noncommercial-1.0.0	Regenerate/copy from contrib/systemd and preserve service identity.	Release-bundle systemd copies.
compiled_distribution/README.md	docs/package assets	derived release-bundle documentation	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Keep build id, checksum, and license caveats current.	Compiled bundle instructions and checksums.
Docs/github-wiki/**	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve licensing and no-certification caveats.	GitHub wiki documentation snapshots.
Docs/tetra-standards/README.md	docs/package assets	ETSI standards context; no code license asserted	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve standards workflow and no-certification caveats.	Documentation for local standards cache.
Docs/tetra-standards/fetch_etsi_text.sh	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve source URL metadata output.	Cache refresh helper script.
Docs/tetra-standards/standards.tsv	docs/package assets	ETSI source URLs listed; standard texts not relicensed	PolyForm-Noncommercial-1.0.0 for table metadata	NOASSERTION	Preserve source URLs and versions.	Index of ETSI documents used for cache refresh.
Docs/tetra-standards/cache/*.source	generated/binary	ETSI source URL metadata	none claimed for ETSI content	NOASSERTION	Regenerate with fetch script and preserve source URL/generated timestamp.	Generated cache metadata.
Docs/tetra-standards/cache/*.txt	generated/binary	ETSI standards text; third-party standard terms apply	none claimed	NOASSERTION	Do not treat as Nexus-BS code; refresh from listed source URLs if needed.	Local generated text cache for repeatable standards review.
assets/**	docs/package assets	none identified	PolyForm-Noncommercial-1.0.0	PolyForm-Noncommercial-1.0.0	Preserve project branding ownership and usage context.	Nexus-BS logo and project assets.
figs/**	needs-review	unknown from available repository context	PolyForm-Noncommercial-1.0.0 if Nexus-created	NOASSERTION	Review original source/author before external reuse.	Documentation figures and Dia source with insufficient provenance context.
target/**	generated/binary	derived local build artifacts and third-party dependency outputs	none claimed	NOASSERTION	Do not distribute as source; regenerate locally.	Ignored Cargo build output if present.
**/.DS_Store	generated/binary	local macOS metadata	none claimed	NOASSERTION	Exclude from releases where possible.	Local filesystem metadata.
*.deb	generated/binary	derived package output	none claimed	NOASSERTION	Prefer packaging/deb/dist row; run dependency license review.	Generic Debian package artifact fallback.
*	needs-review	no path-specific classification	PolyForm-Noncommercial-1.0.0 unless file-level notices state otherwise	NOASSERTION	Add a specific LICENSE-MAP.tsv row before relying on this fallback.	Fallback for future/unclassified files.
